,test_mean,test_std,train_mean,train_std,n_features,features,model,feature_selector,gridsearch_time,evaluation_time
20,0.182992314559652,0.09571117522260766,0.22946196932428814,0.08307979981171287,1,[1117],RandomForestClassifier,k-best,4.946000337600708,6.588815450668335
21,0.1645049841799068,0.08192839791267068,0.16773398877022067,0.07331333956969113,1,[338],RandomForestClassifier,k-best-mean,6.707575798034668,23.91270685195923
22,0.3984262755934583,0.08873627402642761,0.4158539554916366,0.04571840516525412,1,[942],LogisticRegression,k-best,0.30278873443603516,0.49593663215637207
23,0.17752578404281197,0.09659361014206294,0.2354124201080723,0.07094517199734475,1,[712],LogisticRegression,k-best,0.25190234184265137,0.7387268543243408
24,0.22252544067559546,0.08839914556381022,0.1818580893073647,0.04589165803384127,1,[338],LogisticRegression,k-best,0.22604775428771973,0.5324110984802246
25,0.18074457448296455,0.07735273217609001,0.21586605772113018,0.0640691459778979,1,[1117],LogisticRegression,k-best,0.19666171073913574,0.6377685070037842
26,0.22252544067559546,0.08839914556381022,0.1818580893073647,0.04589165803384127,1,[338],LogisticRegression,k-best-mean,0.17472600936889648,0.517195463180542
27,0.44414550863080277,0.15229888545703274,0.46691133396930495,0.08515346145674495,2,[942 920],KNeighborsClassifier,k-best,0.27774715423583984,0.5548572540283203
28,0.1395206404649129,0.093049296376298,0.18293864938067836,0.07982590357027436,2,[ 712 1145],KNeighborsClassifier,k-best,0.2867453098297119,0.612421989440918
29,0.17858393154832783,0.1061443376317771,0.15407969888404666,0.06898317194281883,2,[338  81],KNeighborsClassifier,k-best,0.2938525676727295,0.6059961318969727
30,0.1567089717128417,0.08542229693129778,0.2035184809822491,0.07644478091705385,2,[1117 1416],KNeighborsClassifier,k-best,0.29230690002441406,0.6061100959777832
31,0.1585825848558047,0.08469454451332942,0.17073692786011627,0.08133933920295454,2,[ 338 1117],KNeighborsClassifier,k-best-mean,0.5360090732574463,0.6040465831756592
32,0.4343257260169025,0.13659207275877713,0.46233317487665315,0.09117657666953648,2,[942 920],RandomForestClassifier,k-best,5.2148332595825195,2.624493360519409
33,0.1434616770684882,0.08777224280826489,0.1853098031866148,0.08119481709897432,2,[ 712 1145],RandomForestClassifier,k-best,4.615191698074341,6.911575794219971
34,0.18030955342100854,0.0781178789385747,0.16943814505408708,0.06782824085650666,2,[338  81],RandomForestClassifier,k-best,5.80339241027832,7.603874921798706
35,0.18696894322281324,0.0978037473270737,0.22241838328070215,0.08631989224262959,2,[1117 1416],RandomForestClassifier,k-best,5.268328905105591,3.2078006267547607
36,0.1934424642551578,0.10652702022035039,0.19523750377373564,0.08490481007544491,2,[ 338 1117],RandomForestClassifier,k-best-mean,4.97112250328064,5.87718391418457
37,0.37255044190415715,0.08946536682434918,0.3879675925255635,0.0600162826754341,2,[942 920],LogisticRegression,k-best,0.11853647232055664,0.4951784610748291
38,0.19771936439893095,0.09360061650438309,0.22464515650747535,0.07638791652202692,2,[ 712 1145],LogisticRegression,k-best,0.11659812927246094,0.4281730651855469
39,0.20958474302901547,0.08068857406161556,0.1793543732166921,0.0505998124375462,2,[338  81],LogisticRegression,k-best,0.1131448745727539,0.4238591194152832
40,0.17961675493409238,0.08045067231887497,0.2144771688322413,0.06376503993593736,2,[1117 1416],LogisticRegression,k-best,0.1146996021270752,0.4244101047515869
41,0.17937241450786343,0.08117584691925789,0.18717191128785335,0.05318644126161431,2,[ 338 1117],LogisticRegression,k-best-mean,0.11457371711730957,0.43979883193969727
42,0.48216564538545964,0.12384655880712284,0.5544090244162707,0.09653625229628807,3,[942 920 931],KNeighborsClassifier,k-best,0.21439218521118164,0.481630802154541
43,0.18056461068457974,0.08177379173775369,0.1870778435198725,0.06636910521634565,3,[ 712 1145   81],KNeighborsClassifier,k-best,0.23027276992797852,0.55666184425354
44,0.14497215732896845,0.07767640927742882,0.16287322956163536,0.06324104922326589,3,[338  81 582],KNeighborsClassifier,k-best,0.24286866188049316,0.4922976493835449
45,0.1780127039569764,0.06878013435095065,0.1793140705242155,0.06054415639459976,3,[1117 1416  712],KNeighborsClassifier,k-best,0.19747447967529297,0.4941408634185791
46,0.17415933309896162,0.08293929523673502,0.17466001952958476,0.08393640798204327,3,[ 338 1117  178],KNeighborsClassifier,k-best-mean,0.20612144470214844,0.5376667976379395
47,0.47718713261282913,0.14611396925758177,0.5347139382356774,0.09872059840662137,3,[942 920 931],RandomForestClassifier,k-best,5.2177417278289795,18.97333598136902
48,0.19668061556606448,0.09588073491041628,0.18319699489989347,0.0661436369000427,3,[ 712 1145   81],RandomForestClassifier,k-best,4.381794214248657,2.277221202850342
49,0.1853717753408156,0.1120733891193126,0.18325649927099202,0.07458340155558135,3,[338  81 582],RandomForestClassifier,k-best,5.092410087585449,2.6615071296691895
50,0.19171730545569554,0.0959971594169985,0.21726555730903557,0.07594548034356242,3,[1117 1416  712],RandomForestClassifier,k-best,4.733904123306274,19.34140920639038
51,0.1701486937555049,0.084749022047851,0.18869135266236717,0.07116054465983991,3,[ 338 1117  178],RandomForestClassifier,k-best-mean,4.327447175979614,2.227299451828003
52,0.3813814135640761,0.12236138084620982,0.42853084998737173,0.08384812053911846,3,[942 920 931],LogisticRegression,k-best,0.12357807159423828,0.4499189853668213
53,0.213191758934793,0.07351269184011511,0.18800234387190912,0.057144228802701,3,[ 712 1145   81],LogisticRegression,k-best,0.11830472946166992,0.44037842750549316
54,0.21666009071194828,0.0706221969381133,0.18982868151708734,0.05099482351597995,3,[338  81 582],LogisticRegression,k-best,0.11549997329711914,0.42847537994384766
55,0.17133251051207704,0.09801745058327793,0.22155331008229562,0.07242179341489739,3,[1117 1416  712],LogisticRegression,k-best,0.12156867980957031,0.5248432159423828
56,0.18897705550956323,0.08703239670885946,0.1894592289085043,0.05488702688663754,3,[ 338 1117  178],LogisticRegression,k-best-mean,0.18935704231262207,0.4902338981628418
57,0.43749138589308867,0.11457598345608913,0.4559513580890393,0.08823872560875186,5,[942 920 931 939 229],KNeighborsClassifier,k-best,0.24756526947021484,0.5961964130401611
